zone,model,fold_id,train_start,train_end,test_start,test_end,mae,rmse,mape,directional_accuracy
DK1,persistence,1.0,2022-02-01,2023-01-01,2023-07-01 00:00:00,2023-07-07,54.78931034482759,98.3455914093518,5376.022770407599,67.36111111111111
DK1,persistence,2.0,2022-02-01,2023-07-07,2023-07-07 01:00:00,2023-07-14,23.63619047619047,30.014490111722147,38.17789309327736,74.8502994011976
DK1,persistence,3.0,2022-02-01,2023-07-14,2023-07-14 01:00:00,2023-07-21,49.62970238095239,62.074808415982666,4527.899293318868,67.06586826347305
DK1,persistence,4.0,2022-02-01,2023-07-21,2023-07-21 01:00:00,2023-07-28,35.663988095238096,44.19220627931279,1915.755388118044,66.46706586826348
DK1,persistence,5.0,2022-02-01,2023-07-28,2023-07-28 01:00:00,2023-07-31,34.968611111111116,45.473470470887385,14867.70321157473,70.4225352112676
DK1,ridge,1.0,2022-02-01,2023-01-01,2023-07-01 00:00:00,2023-07-07,111.39993030600824,135.71060570017272,18061.172023094332,63.888888888888886
DK1,ridge,2.0,2022-02-01,2023-07-07,2023-07-07 01:00:00,2023-07-14,74.70383552927312,86.68147224480941,123.66539413915665,74.25149700598801
DK1,ridge,3.0,2022-02-01,2023-07-14,2023-07-14 01:00:00,2023-07-21,72.54820942986127,81.17689123471162,8978.833066949564,65.26946107784431
DK1,ridge,4.0,2022-02-01,2023-07-21,2023-07-21 01:00:00,2023-07-28,55.02422815520326,67.51291409391517,2253.5388649493707,64.07185628742515
DK1,ridge,5.0,2022-02-01,2023-07-28,2023-07-28 01:00:00,2023-07-31,56.690777728089735,64.33164980672602,15979.887018783938,70.4225352112676
DK1,xgboost,1.0,2022-02-01 00:00:00,2023-01-01 00:00:00,2023-07-01 00:00:00,2023-07-07 00:00:00,90.4480445114662,117.59682847145407,20545.43182686586,61.111111111111114
DK1,xgboost,2.0,2022-02-01 00:00:00,2023-07-07 00:00:00,2023-07-07 01:00:00,2023-07-14 00:00:00,23.951697390420097,30.63767146077381,42.00415744422684,65.86826347305389
DK1,xgboost,3.0,2022-02-01 00:00:00,2023-07-14 00:00:00,2023-07-14 01:00:00,2023-07-21 00:00:00,35.153902145113264,42.28594299169108,5765.463822022519,71.8562874251497
DK1,xgboost,4.0,2022-02-01 00:00:00,2023-07-21 00:00:00,2023-07-21 01:00:00,2023-07-28 00:00:00,20.937647984595525,26.14034538019605,632.7849283888271,74.25149700598801
DK1,xgboost,5.0,2022-02-01 00:00:00,2023-07-28 00:00:00,2023-07-28 01:00:00,2023-07-31 00:00:00,16.385722663667465,20.695321625621016,6871.39218590777,77.46478873239437
DK2,xgboost,1.0,2022-02-01 00:00:00,2023-05-01 00:00:00,2023-08-01 00:00:00,2023-08-04 00:00:00,45.28977225107689,54.074182356400776,191.4159283173215,68.05555555555556
DK2,xgboost,2.0,2022-02-01 00:00:00,2023-08-04 00:00:00,2023-08-04 01:00:00,2023-08-11 00:00:00,59.78096670241583,70.32741055262403,24797.975427226207,64.07185628742515
DK2,xgboost,3.0,2022-02-01 00:00:00,2023-08-11 00:00:00,2023-08-11 01:00:00,2023-08-18 00:00:00,19.267376369294663,25.71732031241617,111.0435828137411,69.46107784431138
DK2,xgboost,4.0,2022-02-01 00:00:00,2023-08-18 00:00:00,2023-08-18 01:00:00,2023-08-25 00:00:00,29.659261871519544,38.708022903914696,47.74414050022159,74.25149700598801
DK2,xgboost,5.0,2022-02-01 00:00:00,2023-08-25 00:00:00,2023-08-25 01:00:00,2023-09-01 00:00:00,17.134167485010057,21.249518307975546,16.08176898574465,79.04191616766467
DK2,xgboost,6.0,2022-02-01 00:00:00,2023-09-01 00:00:00,2023-09-01 01:00:00,2023-09-08 00:00:00,15.4132957249596,20.923395483972545,26.98985235266233,77.84431137724552
DK2,xgboost,7.0,2022-02-01 00:00:00,2023-09-08 00:00:00,2023-09-08 01:00:00,2023-09-15 00:00:00,28.146516362144833,52.24798048529148,54.156000985286845,72.45508982035929
DK2,xgboost,8.0,2022-02-01 00:00:00,2023-09-15 00:00:00,2023-09-15 01:00:00,2023-09-22 00:00:00,47.72538689295451,57.73594196110496,20857.272460444372,76.64670658682635
DK2,xgboost,9.0,2022-02-01 00:00:00,2023-09-22 00:00:00,2023-09-22 01:00:00,2023-09-29 00:00:00,50.070746142069495,66.10601290770197,40474.85174904982,76.04790419161677
DK2,xgboost,10.0,2022-02-01 00:00:00,2023-09-29 00:00:00,2023-09-29 01:00:00,2023-10-06 00:00:00,61.44825752894084,72.65191800007273,34114.76187345142,73.05389221556887
DK2,xgboost,11.0,2022-02-01 00:00:00,2023-10-06 00:00:00,2023-10-06 01:00:00,2023-10-13 00:00:00,49.0342405010405,61.15581054823445,27932.334938444,68.8622754491018
DK2,xgboost,12.0,2022-02-01 00:00:00,2023-10-13 00:00:00,2023-10-13 01:00:00,2023-10-20 00:00:00,53.249640580131896,59.89640606387013,13188.327869943743,68.8622754491018
DK2,xgboost,13.0,2022-02-01 00:00:00,2023-10-20 00:00:00,2023-10-20 01:00:00,2023-10-27 00:00:00,35.77474473135811,42.187003550640405,87.78859768562916,60.47904191616767
DK2,xgboost,14.0,2022-02-01 00:00:00,2023-10-27 00:00:00,2023-10-27 01:00:00,2023-11-01 00:00:00,34.63194812266032,42.498804923936746,196.98651214732683,69.74789915966386
DK2,xgboost,15.0,2022-02-01 00:00:00,2023-11-01 00:00:00,2024-04-01 00:00:00,2024-04-05 00:00:00,24.76517136406653,28.564338741904137,274.70394166889713,64.58333333333334
DK2,xgboost,16.0,2022-02-01 00:00:00,2024-04-05 00:00:00,2024-04-05 01:00:00,2024-04-12 00:00:00,33.978587152390254,40.39062990861496,10455.19885598428,76.04790419161677
DK2,xgboost,17.0,2022-02-01 00:00:00,2024-04-12 00:00:00,2024-04-12 01:00:00,2024-04-19 00:00:00,32.851078831808906,40.28394443578429,2365.4978566182135,76.64670658682635
DK2,xgboost,18.0,2022-02-01 00:00:00,2024-04-19 00:00:00,2024-04-19 01:00:00,2024-04-26 00:00:00,12.51164076941354,17.644600824097413,19.95411108399128,77.84431137724552
DK2,xgboost,19.0,2022-02-01 00:00:00,2024-04-26 00:00:00,2024-04-26 01:00:00,2024-05-03 00:00:00,56.41407953716459,70.936058117935,9195.01947531886,68.26347305389223
DK2,xgboost,20.0,2022-02-01 00:00:00,2024-05-03 00:00:00,2024-05-03 01:00:00,2024-05-10 00:00:00,28.088869216555644,35.21908957810683,3879.0145452265265,76.04790419161677
DK2,xgboost,21.0,2022-02-01 00:00:00,2024-05-10 00:00:00,2024-05-10 01:00:00,2024-05-17 00:00:00,45.984733608790805,48.48137839261123,8042.405548470793,74.25149700598801
DK2,xgboost,22.0,2022-02-01 00:00:00,2024-05-17 00:00:00,2024-05-17 01:00:00,2024-05-24 00:00:00,32.627362811224806,36.96620864420189,8186.251408100684,76.64670658682635
DK2,xgboost,23.0,2022-02-01 00:00:00,2024-05-24 00:00:00,2024-05-24 01:00:00,2024-05-31 00:00:00,20.789129421597437,26.959842535646324,1409.421360264746,82.03592814371258
DK2,xgboost,24.0,2022-02-01 00:00:00,2024-05-31 00:00:00,2024-05-31 01:00:00,2024-06-01 00:00:00,29.484929898579917,34.77198854748328,436.8532731308816,78.26086956521739
DK2,xgboost,25.0,2022-02-01 00:00:00,2024-06-01 00:00:00,2024-09-01 00:00:00,2024-09-06 00:00:00,47.08906106365613,59.58528228810623,18066.578722558417,75.0
